Index,PubmedID,Condition,Study
97,28810598,rheumatic heart disease,"Zheng D, Chen X, et al. Differentially methylated regions in patients with rheumatic heart disease and secondary pulmonary arterial hypertension. Exp Ther Med. 2017 Aug;14(2):1367-1372. doi: 10.3892/etm.2017.4652. Epub 2017 Jun 22. PMID: 28810598; PMCID: PMC5525905."
98,28067321,atrial fibrillation,"Lin H, Yin X, et al. Methylome-wide Association Study of Atrial Fibrillation in Framingham Heart Study. Sci Rep. 2017 Jan 9;7:40377. doi: 10.1038/srep40377. PMID: 28067321; PMCID: PMC5220313."
99,28849195,atrial fibrillation,"Zhao G, Zhou J, et al. Genome-wide DNA methylation analysis in permanent atrial fibrillation. Mol Med Rep. 2017 Oct;16(4):5505-5514. doi: 10.3892/mmr.2017.7221. Epub 2017 Aug 10. PMID: 28849195."
100,28846808,atrial fibrillation,"Shen K, Tu T, et al. DNA methylation dysregulations in valvular atrial fibrillation. Clin Cardiol. 2017 Sep;40(9):686-691. doi: 10.1002/clc.22715. Epub 2017 Aug 28. PMID: 28846808; PMCID: PMC6490353."
101,32226785,atrial fibrillation,"Liu B, Shi X, et al. The Joint Analysis of Multi-Omics Data Revealed the Methylation-Expression Regulations in Atrial Fibrillation. Front Bioeng Biotechnol. 2020 Mar 12;8:187. doi: 10.3389/fbioe.2020.00187. PMID: 32226785; PMCID: PMC7080960."
102,33834070,atrial fibrillation,"Liu L, Huang J, et al. Multiomics Analysis of Genetics and Epigenetics Reveals Pathogenesis and Therapeutic Targets for Atrial Fibrillation. Biomed Res Int. 2021 Mar 25;2021:6644827. doi: 10.1155/2021/6644827. PMID: 33834070; PMCID: PMC8018871."
103,30070582,varicose vein disease,"Smetanina MA, Kel AE, et al. DNA methylation and gene expression profiling reveal MFAP5 as a regulatory driver of extracellular matrix remodeling in varicose vein disease. Epigenomics. 2018 Aug;10(8):1103-1119. doi: 10.2217/epi-2018-0001. Epub 2018 Aug 2. PMID: 30070582."
104,24630777,body mass index,"Dick KJ, Nelson CP, et al. DNA methylation and body-mass index: a genome-wide analysis. Lancet. 2014 Jun 7;383(9933):1990-8. doi: 10.1016/S0140-6736(13)62674-4. Epub 2014 Mar 13. PMID: 24630777."
105,28002404,body mass index,"Wahl S, Drong A, et al. Epigenome-wide association study of body mass index, and the adverse outcomes of adiposity. Nature. 2017 Jan 5;541(7635):81-86. doi: 10.1038/nature20784. Epub 2016 Dec 21. PMID: 28002404; PMCID: PMC5570525."
106,33239103,body mass index,"Vehmeijer FOL, Küpers LK, et al. DNA methylation and body mass index from birth to adolescence: meta-analyses of epigenome-wide association studies. Genome Med. 2020 Nov 25;12(1):105. doi: 10.1186/s13073-020-00810-w. PMID: 33239103; PMCID: PMC7687793."
107,34670603,body mass index,"Chen Y, Kassam I, et al. Impact of BMI and waist circumference on epigenome-wide DNA methylation and identification of epigenetic biomarkers in blood: an EWAS in multi-ethnic Asian individuals. Clin Epigenetics. 2021 Oct 20;13(1):195. doi: 10.1186/s13148-021-01162-x. PMID: 34670603; PMCID: PMC8527674."
108,29762635,obesity,"Dhana K, Braun KVE, et al. An Epigenome-Wide Association Study of Obesity-Related Traits. Am J Epidemiol. 2018 Aug 1;187(8):1662-1669. doi: 10.1093/aje/kwy025. PMID: 29762635; PMCID: PMC6070087."
109,32728124,obesity,"Crocker KC, Domingo-Relloso A, et al. DNA methylation and adiposity phenotypes: an epigenome-wide association study among adults in the Strong Heart Study. Int J Obes (Lond). 2020 Nov;44(11):2313-2322. doi: 10.1038/s41366-020-0646-z. Epub 2020 Jul 29. PMID: 32728124; PMCID: PMC7644297."
110,31510868,body mass index,"Sun D, Zhang T, et al. Body Mass Index Drives Changes in DNA Methylation: A Longitudinal Study. Circ Res. 2019 Oct 11;125(9):824-833. doi: 10.1161/CIRCRESAHA.119.315397. Epub 2019 Sep 12. PMID: 31510868; PMCID: PMC6786955."
111,27773939,body mass index,"Wilson LE, Harlid S, et al. An epigenome-wide study of body mass index and DNA methylation in blood using participants from the Sister Study cohort. Int J Obes (Lond). 2017 Jan;41(1):194-199. doi: 10.1038/ijo.2016.184. Epub 2016 Oct 24. PMID: 27773939; PMCID: PMC5209267."
112,29084944,body mass index,"Rzehak P, Covic M, et al. DNA-Methylation and Body Composition in Preschool Children: Epigenome-Wide-Analysis in the European Childhood Obesity Project (CHOP)-Study. Sci Rep. 2017 Oct 30;7(1):14349. doi: 10.1038/s41598-017-13099-4. PMID: 29084944; PMCID: PMC5662763."
113,29084944,body mass index,"Rzehak P, Covic M, et al. DNA-Methylation and Body Composition in Preschool Children: Epigenome-Wide-Analysis in the European Childhood Obesity Project (CHOP)-Study. Sci Rep. 2017 Oct 30;7(1):14349. doi: 10.1038/s41598-017-13099-4. PMID: 29084944; PMCID: PMC5662763."
114,29278407,body mass index,"Geurts YM, Dugué PA, et al. Novel associations between blood DNA methylation and body mass index in middle-aged and older adults. Int J Obes (Lond). 2018 Apr;42(4):887-896. doi: 10.1038/ijo.2017.269. Epub 2017 Oct 16. PMID: 29278407."
115,28947923,adiposity,"Meeks KAC, Henneman P, et al. An epigenome-wide association study in whole blood of measures of adiposity among Ghanaians: the RODAM study. Clin Epigenetics. 2017 Sep 21;9:103. doi: 10.1186/s13148-017-0403-x. PMID: 28947923; PMCID: PMC5609006."
116,25935004,body mass index,"Demerath EW, Guan W, et al. Epigenome-wide association study (EWAS) of BMI, BMI change and waist circumference in African American adults identifies multiple replicated loci. Hum Mol Genet. 2015 Aug 1;24(15):4464-79. doi: 10.1093/hmg/ddv161. Epub 2015 May 1. PMID: 25935004; PMCID: PMC4492394."
117,26823690,type 2 diabetes,"Al Muftah WA, Al-Shafai M, et al. Epigenetic associations of type 2 diabetes and BMI in an Arab population. Clin Epigenetics. 2016 Jan 28;8:13. doi: 10.1186/s13148-016-0177-6. PMID: 26823690; PMCID: PMC4730771."
118,27564309,obesity,"Ali O, Cerjak D, et al. Methylation of SOCS3 is inversely associated with metabolic syndrome in an epigenome-wide association study of obesity. Epigenetics. 2016 Sep;11(9):699-707. doi: 10.1080/15592294.2016.1216284. Epub 2016 Aug 26. PMID: 27564309; PMCID: PMC5048720."
119,30765773,body mass index,"He F, Berg A, et al. Association between DNA methylation in obesity-related genes and body mass index percentile in adolescents. Sci Rep. 2019 Feb 14;9(1):2079. doi: 10.1038/s41598-019-38587-7. PMID: 30765773; PMCID: PMC6375997."
120,36649705,body mass index,"Do WL, Sun D, et al. Epigenome-wide meta-analysis of BMI in nine cohorts: Examining the utility of epigenetically predicted BMI. Am J Hum Genet. 2023 Feb 2;110(2):273-283. doi: 10.1016/j.ajhg.2022.12.014. Epub 2023 Jan 16. PMID: 36649705; PMCID: PMC9943731."
121,30397228,obesity,"Kvaloy K, Page CM and Holmen TL. Epigenome-wide methylation differences in a group of lean and obese women - A HUNT Study. Sci Rep. 2018 Nov 5;8(1):16330. doi: 10.1038/s41598-018-34003-8. PMID: 30397228; PMCID: PMC6218540."
122,36479596,body mass index,"Taylor JY, Huang Y, et al. Epigenome-wide association study of BMI in Black populations from InterGEN and GENOA. Obesity (Silver Spring). 2023 Jan;31(1):243-255. doi: 10.1002/oby.23589. Epub 2022 Dec 7. PMID: 36479596; PMCID: PMC10107734."
123,34183656,blood lipids,"Jhun MA, Mendelson M, et al. A multi-ethnic epigenome-wide association study of leukocyte DNA methylation and blood lipids. Nat Commun. 2021 Jun 28;12(1):3987. doi: 10.1038/s41467-021-23899-y. Erratum in: Nat Commun. 2021 Jul 6;12(1):4256. PMID: 34183656; PMCID: PMC8238961."
124,34207686,obesity risk,"Nikpay M, Ravati S, et al. Epigenome-Wide Study Identified Methylation Sites Associated with the Risk of Obesity. Nutrients. 2021 Jun 9;13(6):1984. doi: 10.3390/nu13061984. PMID: 34207686; PMCID: PMC8229089."
125,27762626,body mass index,"Rounge TB, Page CM, et al. Genome-wide DNA methylation in saliva and body size of adolescent girls. Epigenomics. 2016 Nov;8(11):1495-1505. doi: 10.2217/epi-2016-0045. Epub 2016 Oct 20. PMID: 27762626."
126,31552803,smoking,"Dugué PA, Jung CH, et al. Smoking and blood DNA methylation: an epigenome-wide association study and assessment of reversibility. Epigenetics. 2020 Apr;15(4):358-368. doi: 10.1080/15592294.2019.1668739. Epub 2019 Sep 25. PMID: 31552803; PMCID: PMC7153547."
127,28095459,body mass index,"Mendelson MM, Marioni RE, et al. Association of Body Mass Index with DNA Methylation and Gene Expression in Blood Cells and Relations to Cardiometabolic Disease: A Mendelian Randomization Approach. PLoS Med. 2017 Jan 17;14(1):e1002215. doi: 10.1371/journal.pmed.1002215. PMID: 28095459; PMCID: PMC5240936."
128,35915606,Atherosclerosis,"Li X, Dong X, Lu W, Yang K, Li X. Integrated Analysis of Gene Expression and Methylation Data to Identify Potential Biomarkers Related to Atherosclerosis Onset. Oxid Med Cell Longev. 2022 Jul 22;2022:5493051. doi: 10.1155/2022/5493051. PMID: 35915606; PMCID: PMC9338736."
129,34990206,Atherosclerosis,"Cheng P, Wirka RC, Shoa Clarke L, Zhao Q, Kundu R, Nguyen T, Nair S, Sharma D, Kim HJ, Shi H, Assimes T, Brian Kim J, Kundaje A, Quertermous T. ZEB2 Shapes the Epigenetic Landscape of Atherosclerosis. Circulation. 2022 Feb 8;145(6):469-485. doi: 10.1161/CIRCULATIONAHA.121.057789. Epub 2022 Jan 6. PMID: 34990206; PMCID: PMC8896308."
130,34024118,Atherosclerosis,"Örd T, Õunap K, Stolze LK, Aherrahrou R, Nurminen V, Toropainen A, Selvarajan I, Lönnberg T, Aavik E, Ylä-Herttuala S, Civelek M, Romanoski CE, Kaikkonen MU. Single-Cell Epigenomics and Functional Fine-Mapping of Atherosclerosis GWAS Loci. Circ Res. 2021 Jul 9;129(2):240-258. doi: 10.1161/CIRCRESAHA.121.318971. Epub 2021 May 24. PMID: 34024118; PMCID: PMC8260472."
131, 34091768,Atherosclerosis,"Portilla-Fernández E, Hwang SJ, Wilson R, Maddock J, Hill WD, Teumer A, Mishra PP, Brody JA, Joehanes R, Ligthart S, Ghanbari M, Kavousi M, Roks AJM, Danser AHJ, Levy D, Peters A, Ghasemi S, Schminke U, Dörr M, Grabe HJ, Lehtimäki T, Kähönen M, Hurme MA, Bartz TM, Sotoodehnia N, Bis JC, Thiery J, Koenig W, Ong KK, Bell JT, Meisinger C, Wardlaw JM, Starr JM, Seissler J, Then C, Rathmann W, Ikram MA, Psaty BM, Raitakari OT, Völzke H, Deary IJ, Wong A, Waldenberger M, O'Donnell CJ, Dehghan A. Meta-analysis of epigenome-wide association studies of carotid intima-media thickness. Eur J Epidemiol. 2021 Nov;36(11):1143-1155. doi: 10.1007/s10654-021-00759-z. Epub 2021 Jun 6. PMID: 34091768; PMCID: PMC8629903."
132,37464577,Atherosclerosis,"Zhao N, Teles F, Lu J, Koestler DC, Beck J, Boerwinkle E, Bressler J, Kelsey KT, Platz EA, Michaud DS. Epigenome-wide association study using peripheral blood leukocytes identifies genomic regions associated with periodontal disease and edentulism in the Atherosclerosis Risk in Communities study. J Clin Periodontol. 2023 Sep;50(9):1140-1153. doi: 10.1111/jcpe.13852. Epub 2023 Jul 18. PMID: 37464577; PMCID: PMC10528731."
133,34944721,Atherosclerosis,"Bompada P, Goncalves I, Wu C, Gao R, Sun J, Mir BA, Luan C, Renström E, Groop L, Weng J, Hansson O, Edsfeldt A, De Marinis Y. Epigenome-Wide Histone Acetylation Changes in Peripheral Blood Mononuclear Cells in Patients with Type 2 Diabetes and Atherosclerotic Disease. Biomedicines. 2021 Dec 14;9(12):1908. doi: 10.3390/biomedicines9121908. PMID: 34944721; PMCID: PMC8698994."
134,30854262,Atherosclerosis,"Bielak LF, Peyser PA. Genetics of Subclinical Coronary Atherosclerosis. Curr Genet Med Rep. 2018 Sep;6(3):116-123. doi: 10.1007/s40142-018-0145-x. Epub 2018 Jul 13. PMID: 30854262; PMCID: PMC6405218."
135,37502922,Atherosclerosis,"Manichaikul A, Hu X, Logan J, Kwon Y, Lima J, Jacobs D, Duprez D, Brumback L, Taylor K, Durda P, Johnson C, Cornell E, Guo X, Liu Y, Tracy R, Blackwell T, Papanicolaou G, Mitchell G, Rich S, Rotter J, Van Den Berg D, Chirinos J, Hughes T, Garrett-Bakelman F. Multi-ancestry epigenome-wide analyses identify methylated sites associated with aortic augmentation index in TOPMed MESA. Res Sq [Preprint]. 2023 Jul 13:rs.3.rs-3125948. doi: 10.21203/rs.3.rs-3125948/v1. Update in: Sci Rep. 2023 Oct 17;13(1):17680. PMID: 37502922; PMCID: PMC10371087."
136,28371472,Atherosclerosis,"Jia SJ, Gao KQ, Zhao M. Epigenetic regulation in monocyte/macrophage: A key player during atherosclerosis. Cardiovasc Ther. 2017 Jun;35(3). doi: 10.1111/1755-5922.12262. PMID: 28371472."
137,25935004,Atherosclerosis,"Demerath EW, Guan W, Grove ML, Aslibekyan S, Mendelson M, Zhou YH, Hedman ÅK, Sandling JK, Li LA, Irvin MR, Zhi D, Deloukas P, Liang L, Liu C, Bressler J, Spector TD, North K, Li Y, Absher DM, Levy D, Arnett DK, Fornage M, Pankow JS, Boerwinkle E. Epigenome-wide association study (EWAS) of BMI, BMI change and waist circumference in African American adults identifies multiple replicated loci. Hum Mol Genet. 2015 Aug 1;24(15):4464-79. doi: 10.1093/hmg/ddv161. Epub 2015 May 1. PMID: 25935004; PMCID: PMC4492394."
138,38010480,Atherosclerosis,"Baek KI, Ryu K. Role of Flow-Sensitive Endothelial Genes in Atherosclerosis and Antiatherogenic Therapeutics Development. J Cardiovasc Transl Res. 2023 Nov 27. doi: 10.1007/s12265-023-10463-w. Epub ahead of print. PMID: 38010480."
139,25953647,Atherosclerosis,"Dunn J, Thabet S, Jo H. Flow-Dependent Epigenetic DNA Methylation in Endothelial Gene Expression and Atherosclerosis. Arterioscler Thromb Vasc Biol. 2015 Jul;35(7):1562-9. doi: 10.1161/ATVBAHA.115.305042. Epub 2015 May 7. PMID: 25953647; PMCID: PMC4754957."
140,33472942,Atherosclerosis,Natarajan R. Epigenetic Mechanisms in Diabetic Vascular Complications and Metabolic Memory: The 2020 Edwin Bierman Award Lecture. Diabetes. 2021 Feb;70(2):328-337. doi: 10.2337/dbi20-0030. PMID: 33472942; PMCID: PMC7881871.
141,25974102,Atherosclerosis,"Toghill BJ, Saratzis A, Harrison SC, Verissimo AR, Mallon EB, Bown MJ. The potential role of DNA methylation in the pathogenesis of abdominal aortic aneurysm. Atherosclerosis. 2015 Jul;241(1):121-9. doi: 10.1016/j.atherosclerosis.2015.05.001. Epub 2015 May 7. PMID: 25974102."
142,33876670,Atherosclerosis,"Deng K, Ning X, Ren X, Yang B, Li J, Cao J, Chen J, Lu X, Chen S, Wang L. Transcriptome-wide N6-methyladenosine methylation landscape of coronary artery disease. Epigenomics. 2021 May;13(10):793-808. doi: 10.2217/epi-2020-0372. Epub 2021 Apr 20. PMID: 33876670."
143,30529831,Atherosclerosis,"Lacey M, Baribault C, Ehrlich KC, Ehrlich M. Atherosclerosis-associated differentially methylated regions can reflect the disease phenotype and are often at enhancers. Atherosclerosis. 2019 Jan;280:183-191. doi: 10.1016/j.atherosclerosis.2018.11.031. Epub 2018 Nov 27. PMID: 30529831; PMCID: PMC6348116."
144,36226634,Congenital Heart Disease,"Richard MA, Yang W, Sok P, Li M, Carmichael SL, von Behren J, Reynolds P, Fisher PG, Collins RT, Hobbs CA, Luke B, Shaw GM, Lupo PJ. Differential newborn DNA methylation among individuals with complex congenital heart defects and childhood lymphoma. Birth Defects Res. 2022 Dec 1;114(20):1434-1439. doi: 10.1002/bdr2.2105. Epub 2022 Oct 13. PMID: 36226634."
145,28140654,Congenital Heart Disease,"Wijnands KP, Chen J, Liang L, Verbiest MM, Lin X, Helbing WA, Gittenberger-de Groot AC, van der Spek PJ, Uitterlinden AG, Steegers-Theunissen RP. Genome-wide methylation analysis identifies novel CpG loci for perimembranous ventricular septal defects in human. Epigenomics. 2017 Mar;9(3):241-251. doi: 10.2217/epi-2016-0093. Epub 2017 Jan 31. PMID: 28140654."
146, 33407475,Congenital Heart Disease,"Chang S, Wang Y, Xin Y, Wang S, Luo Y, Wang L, Zhang H, Li J. DNA methylation abnormalities of imprinted genes in congenital heart disease: a pilot study. BMC Med Genomics. 2021 Jan 6;14(1):4. doi: 10.1186/s12920-020-00848-0. PMID: 33407475; PMCID: PMC7789576."
147,35191222,Congenital Heart Disease,"Joshi RO, Kukshal P, Chellappan S, Guhathakurta S. The study of expression levels of DNA methylation regulators in patients affected with congenital heart defects (CHDs). Birth Defects Res. 2022 Apr;114(7):228-237. doi: 10.1002/bdr2.1988. Epub 2022 Feb 22. PMID: 35191222."
148,36421790,Congenital Heart Disease,"Calzada-Dávila M, Calvo-Anguiano G, Martínez-de-Villarreal LE, Lugo-Trampe JJ, González-Peña SM, Ancer-Rodríguez PR, Hernández-Almaguer MD, Campos-Acevedo LD. Congenital Heart Diseases: Genetic Risk Variants and Their Methylation Status. Genes (Basel). 2022 Nov 15;13(11):2115. doi: 10.3390/genes13112115. PMID: 36421790; PMCID: PMC9690480."
149,34041244,Congenital Heart Disease,"Wang J, Ma X, Zhang Q, Chen Y, Wu D, Zhao P, Yu Y. The Interaction Analysis of SNP Variants and DNA Methylation Identifies Novel Methylated Pathogenesis Genes in Congenital Heart Diseases. Front Cell Dev Biol. 2021 May 4;9:665514. doi: 10.3389/fcell.2021.665514. PMID: 34041244; PMCID: PMC8143053."
150, 25587870,Congenital Heart Disease,"Serra-Juhé C, Cuscó I, Homs A, Flores R, Torán N, Pérez-Jurado LA. DNA methylation abnormalities in congenital heart disease. Epigenetics. 2015;10(2):167-77. doi: 10.1080/15592294.2014.998536. PMID: 25587870; PMCID: PMC4622722."
151,20868449,Congenital Heart Disease,"Obermann-Borst SA, van Driel LM, Helbing WA, de Jonge R, Wildhagen MF, Steegers EA, Steegers-Theunissen RP. Congenital heart defects and biomarkers of methylation in children: a case-control study. Eur J Clin Invest. 2011 Feb;41(2):143-50. doi: 10.1111/j.1365-2362.2010.02388.x. Epub 2010 Sep 27. PMID: 20868449."
152,36396788,Congenital Heart Disease,"Liu J, Wu Y, Sun H, Liu X, Gu X, Zhang Y, Zhao Y, Han J, He Y. Association between placental DNA methylation and fetal congenital heart disease. Mol Genet Genomics. 2023 Jan;298(1):243-251. doi: 10.1007/s00438-022-01944-9. Epub 2022 Nov 17. PMID: 36396788."
153,32600304,Congenital Heart Disease,"Liu Q, Ma J, Deng H, Huang SJ, Rao J, Xu WB, Huang JS, Sun SQ, Zhang L. Cardiac-specific methylation patterns of circulating DNA for identification of cardiomyocyte death. BMC Cardiovasc Disord. 2020 Jun 29;20(1):310. doi: 10.1186/s12872-020-01587-x. PMID: 32600304; PMCID: PMC7322904."
154,35556253,Congenital Heart Disease,"Li N, Li L, Liu Z, Deng Y, Wang M, Zhao J, Zeng S, Kang H, Wang Y, Zhu J, Zhao J, Yu P. The effect of maternal polycyclic aromatic hydrocarbons exposure and methylation levels of congenital heart diseases-candidate genes on the risk of congenital heart diseases. Prenat Diagn. 2022 Aug;42(9):1142-1154. doi: 10.1002/pd.6167. Epub 2022 May 18. PMID: 35556253."
155,21297937,Congenital Heart Disease,"Chowdhury S, Erickson SW, MacLeod SL, Cleves MA, Hu P, Karim MA, Hobbs CA. Maternal genome-wide DNA methylation patterns and congenital heart defects. PLoS One. 2011 Jan 24;6(1):e16506. doi: 10.1371/journal.pone.0016506. PMID: 21297937; PMCID: PMC3031146."
156,27496870,Congenital Heart Disease,"Grunert M, Dorn C, Cui H, Dunkel I, Schulz K, Schoenhals S, Sun W, Berger F, Chen W, Sperling SR. Comparative DNA methylation and gene expression analysis identifies novel genes for structural congenital heart diseases. Cardiovasc Res. 2016 Oct;112(1):464-77. doi: 10.1093/cvr/cvw195. Epub 2016 Aug 5. PMID: 27496870."
157,24456003,Congenital Heart Disease,"Xu M, Wu X, Li Y, Yang X, Hu J, Zheng M, Tian J. CITED2 mutation and methylation in children with congenital heart disease. J Biomed Sci. 2014 Jan 24;21(1):7. doi: 10.1186/1423-0127-21-7. PMID: 24456003; PMCID: PMC3917535."
158,24479926,Congenital Heart Disease,"Sheng W, Qian Y, Zhang P, Wu Y, Wang H, Ma X, Chen L, Ma D, Huang G. Association of promoter methylation statuses of congenital heart defect candidate genes with Tetralogy of Fallot. J Transl Med. 2014 Jan 31;12:31. doi: 10.1186/1479-5876-12-31. PMID: 24479926; PMCID: PMC3915623."
159,29866040,Congenital Heart Disease,"Lyu G, Zhang C, Ling T, Liu R, Zong L, Guan Y, Huang X, Sun L, Zhang L, Li C, Nie Y, Tao W. Genome and epigenome analysis of monozygotic twins discordant for congenital heart disease. BMC Genomics. 2018 Jun 4;19(1):428. doi: 10.1186/s12864-018-4814-7. PMID: 29866040; PMCID: PMC5987557."
160,34112112,Congenital Heart Disease,"Li M, Lyu C, Huang M, Do C, Tycko B, Lupo PJ, MacLeod SL, Randolph CE, Liu N, Witte JS, Hobbs CA. Mapping methylation quantitative trait loci in cardiac tissues nominates risk loci and biological pathways in congenital heart disease. BMC Genom Data. 2021 Jun 10;22(1):20. doi: 10.1186/s12863-021-00975-2. PMID: 34112112; PMCID: PMC8194170."
161,29762087,Congenital Heart Disease,"Thomford NE, Dzobo K, Yao NA, Chimusa E, Evans J, Okai E, Kruszka P, Muenke M, Awandare G, Wonkam A, Dandara C. Genomics and Epigenomics of Congenital Heart Defects: Expert Review and Lessons Learned in Africa. OMICS. 2018 May;22(5):301-321. doi: 10.1089/omi.2018.0033. PMID: 29762087; PMCID: PMC6016577."
162,37803336,Congenital Heart Disease,"Mouat JS, Li S, Myint SS, Laufer BI, Lupo PJ, Schraw JM, Woodhouse JP, de Smith AJ, LaSalle JM. Epigenomic signature of major congenital heart defects in newborns with Down syndrome. Hum Genomics. 2023 Oct 6;17(1):92. doi: 10.1186/s40246-023-00540-1. PMID: 37803336; PMCID: PMC10559462."
163,34373718,Congenital Heart Disease,"Zhou J, Xiong Y, Dong X, Wang H, Qian Y, Ma D, Li X. Genome-wide methylation analysis reveals differentially methylated CpG sites and altered expression of heart development-associated genes in fetuses with cardiac defects. Exp Ther Med. 2021 Sep;22(3):1032. doi: 10.3892/etm.2021.10464. Epub 2021 Jul 18. PMID: 34373718; PMCID: PMC8343574."
164, 21793799,Congenital Heart Disease,"Nie Y, Gu H, Gong J, Wang J, Gong D, Cong X, Chen X, Hu S. Methylenetetrahydrofolate reductase C677T polymorphism and congenital heart disease: a meta-analysis. Clin Chem Lab Med. 2011 Dec;49(12):2101-8. doi: 10.1515/CCLM.2011.673. Epub 2011 Jul 28. PMID: 21793799."
165,35336913,Congenital Heart Disease,"Georges HM, Van Campen H, Bielefeldt-Ohmann H, Hansen TR. Epigenomic and Proteomic Changes in Fetal Spleens Persistently Infected with Bovine Viral Diarrhea Virus: Repercussions for the Developing Immune System, Bone, Brain, and Heart. Viruses. 2022 Feb 28;14(3):506. doi: 10.3390/v14030506. PMID: 35336913; PMCID: PMC8949278."
166,30212560,Congenital Heart Disease,"Radhakrishna U, Vishweswaraiah S, Veerappa AM, Zafra R, Albayrak S, Sitharam PH, Saiyed NM, Mishra NK, Guda C, Bahado-Singh R. Newborn blood DNA epigenetic variations and signaling pathway genes associated with Tetralogy of Fallot (TOF). PLoS One. 2018 Sep 13;13(9):e0203893. doi: 10.1371/journal.pone.0203893. PMID: 30212560; PMCID: PMC6136787."
167,25200836,Congenital Heart Disease,"Yuan Y, Gao Y, Wang H, Ma X, Ma D, Huang G. Promoter methylation and expression of the VANGL2 gene in the myocardium of pediatric patients with tetralogy of fallot. Birth Defects Res A Clin Mol Teratol. 2014 Dec;100(12):973-84. doi: 10.1002/bdra.23291. Epub 2014 Sep 8. PMID: 25200836."
168,23665959,Congenital Heart Disease,"Zaidi S, Choi M, Wakimoto H, Ma L, Jiang J, Overton JD, Romano-Adesman A, Bjornson RD, Breitbart RE, Brown KK, Carriero NJ, Cheung YH, Deanfield J, DePalma S, Fakhro KA, Glessner J, Hakonarson H, Italia MJ, Kaltman JR, Kaski J, Kim R, Kline JK, Lee T, Leipzig J, Lopez A, Mane SM, Mitchell LE, Newburger JW, Parfenov M, Pe'er I, Porter G, Roberts AE, Sachidanandam R, Sanders SJ, Seiden HS, State MW, Subramanian S, Tikhonova IR, Wang W, Warburton D, White PS, Williams IA, Zhao H, Seidman JG, Brueckner M, Chung WK, Gelb BD, Goldmuntz E, Seidman CE, Lifton RP. De novo mutations in histone-modifying genes in congenital heart disease. Nature. 2013 Jun 13;498(7453):220-3. doi: 10.1038/nature12141. Epub 2013 May 12. PMID: 23665959; PMCID: PMC3706629."
169,23333085,Congenital Heart Disease,"Feng Y, Zhao LZ, Hong L, Shan C, Shi W, Cai W. Alteration in methylation pattern of GATA-4 promoter region in vitamin A-deficient offspring's heart. J Nutr Biochem. 2013 Jul;24(7):1373-80. doi: 10.1016/j.jnutbio.2012.11.005. Epub 2013 Jan 17. PMID: 23333085."
170,32368852,Congenital Heart Disease,"Ma J, Chen S, Hao L, Sheng W, Chen W, Ma X, Zhang B, Ma D, Huang G. Hypermethylation-mediated down-regulation of lncRNA TBX5-AS1:2 in Tetralogy of Fallot inhibits cell proliferation by reducing TBX5 expression. J Cell Mol Med. 2020 Jun;24(11):6472-6484. doi: 10.1111/jcmm.15298. Epub 2020 May 5. PMID: 32368852; PMCID: PMC7294119."
171,31801406,Cardiac arthymis,"Wang B, Lunetta KL, Dupuis J, Lubitz SA, Trinquart L, Yao L, Ellinor PT, Benjamin EJ, Lin H. Integrative Omics Approach to Identifying Genes Associated With Atrial Fibrillation. Circ Res. 2020 Jan 31;126(3):350-360. doi: 10.1161/CIRCRESAHA.119.315179. Epub 2019 Dec 5. PMID: 31801406; PMCID: PMC7004281."
172,31636200,Cardiac arthymis,"Zhang M, Hill MC, Kadow ZA, Suh JH, Tucker NR, Hall AW, Tran TT, Swinton PS, Leach JP, Margulies KB, Ellinor PT, Li N, Martin JF. Long-range Pitx2c enhancer-promoter interactions prevent predisposition to atrial fibrillation. Proc Natl Acad Sci U S A. 2019 Nov 5;116(45):22692-22698. doi: 10.1073/pnas.1907418116. Epub 2019 Oct 21. PMID: 31636200; PMCID: PMC6842642."
173,31628324,Cardiac arthymis,"van Ouwerkerk AF, Bosada FM, van Duijvenboden K, Hill MC, Montefiori LE, Scholman KT, Liu J, de Vries AAF, Boukens BJ, Ellinor PT, Goumans MJTH, Efimov IR, Nobrega MA, Barnett P, Martin JF, Christoffels VM. Identification of atrial fibrillation associated genes and functional non-coding variants. Nat Commun. 2019 Oct 18;10(1):4755. doi: 10.1038/s41467-019-12721-5. PMID: 31628324; PMCID: PMC6802215."
174,35536696,Cardiac arthymis,"Lee M, Huan T, McCartney DL, Chittoor G, de Vries M, Lahousse L, Nguyen JN, Brody JA, Castillo-Fernandez J, Terzikhan N, Qi C, Joehanes R, Min JL, Smilnak GJ, Shaw JR, Yang CX, Colicino E, Hoang TT, Bermingham ML, Xu H, Justice AE, Xu CJ, Rich SS, Cox SR, Vonk JM, Proki? I, Sotoodehnia N, Tsai PC, Schwartz JD, Leung JM, Sikdar S, Walker RM, Harris SE, van der Plaat DA, Van Den Berg DJ, Bartz TM, Spector TD, Vokonas PS, Marioni RE, Taylor AM, Liu Y, Barr RG, Lange LA, Baccarelli AA, Obeidat M, Fornage M, Wang T, Ward JM, Motsinger-Reif AA, Hemani G, Koppelman GH, Bell JT, Gharib SA, Brusselle G, Boezen HM, North KE, Levy D, Evans KL, Dupuis J, Breeze CE, Manichaikul A, London SJ. Pulmonary Function and Blood DNA Methylation: A Multiancestry Epigenome-Wide Association Meta-analysis. Am J Respir Crit Care Med. 2022 Aug 1;206(3):321-336. doi: 10.1164/rccm.202108-1907OC. PMID: 35536696; PMCID: PMC9890261."
